Country,edu_level,year,sum
Finland,Bachelor or equivalent level,2019,2221
Finland,Bachelor or equivalent level,2020,2371
Finland,Bachelor or equivalent level,2021,2343
Finland,Master or equivalent level,2013,1518
Finland,Master or equivalent level,2014,1664
Finland,Master or equivalent level,2015,1860
Finland,Master or equivalent level,2016,1923
Finland,Master or equivalent level,2017,1912
Finland,Master or equivalent level,2018,2202
Finland,Master or equivalent level,2019,2478
Finland,Master or equivalent level,2020,2509
Finland,Master or equivalent level,2021,2268
Finland,Doctoral or equivalent level,2013,366
Finland,Doctoral or equivalent level,2014,458
Finland,Doctoral or equivalent level,2015,463
Finland,Doctoral or equivalent level,2016,512
Finland,Doctoral or equivalent level,2017,494
Finland,Doctoral or equivalent level,2018,542
Finland,Doctoral or equivalent level,2019,537
Finland,Doctoral or equivalent level,2020,535
Finland,Doctoral or equivalent level,2021,532
France,Short-cycle tertiary education,2013,0
France,Short-cycle tertiary education,2014,0
France,Short-cycle tertiary education,2015,0
France,Short-cycle tertiary education,2016,0
France,Short-cycle tertiary education,2017,8014
France,Short-cycle tertiary education,2018,5982
France,Short-cycle tertiary education,2019,5278
France,Short-cycle tertiary education,2020,4523
France,Short-cycle tertiary education,2021,3629
France,Bachelor or equivalent level,2013,0
France,Bachelor or equivalent level,2014,0
France,Bachelor or equivalent level,2015,0
France,Bachelor or equivalent level,2016,0
France,Bachelor or equivalent level,2017,19970
France,Bachelor or equivalent level,2018,20622
France,Bachelor or equivalent level,2019,22546
France,Bachelor or equivalent level,2020,25842
France,Bachelor or equivalent level,2021,24128
France,Master or equivalent level,2013,0
France,Master or equivalent level,2014,0
France,Master or equivalent level,2015,0
France,Master or equivalent level,2016,0
France,Master or equivalent level,2017,44566
France,Master or equivalent level,2018,47083
France,Master or equivalent level,2019,50628
France,Master or equivalent level,2020,52853
France,Master or equivalent level,2021,54465
France,Doctoral or equivalent level,2013,0
France,Doctoral or equivalent level,2014,0
France,Doctoral or equivalent level,2015,0
France,Doctoral or equivalent level,2016,0
France,Doctoral or equivalent level,2017,4959
France,Doctoral or equivalent level,2018,5150
France,Doctoral or equivalent level,2019,5040
France,Doctoral or equivalent level,2020,4296
France,Doctoral or equivalent level,2021,4364
Germany,Short-cycle tertiary education,2013,0
Germany,Short-cycle tertiary education,2014,0
Germany,Short-cycle tertiary education,2015,0
Germany,Short-cycle tertiary education,2016,0
Germany,Short-cycle tertiary education,2017,0
Germany,Short-cycle tertiary education,2018,0
Germany,Short-cycle tertiary education,2019,0
Germany,Short-cycle tertiary education,2020,0
Germany,Short-cycle tertiary education,2021,0
Germany,Bachelor or equivalent level,2013,9449
Germany,Bachelor or equivalent level,2014,9946
Germany,Bachelor or equivalent level,2015,10146
Germany,Bachelor or equivalent level,2016,10788
Germany,Bachelor or equivalent level,2017,11502
Germany,Bachelor or equivalent level,2018,12090
Germany,Bachelor or equivalent level,2019,16189
Germany,Bachelor or equivalent level,2020,16287
Germany,Bachelor or equivalent level,2021,18375
Germany,Master or equivalent level,2013,18451
Germany,Master or equivalent level,2014,19569
Germany,Master or equivalent level,2015,21337
Germany,Master or equivalent level,2016,22882
Germany,Master or equivalent level,2017,25269
Germany,Master or equivalent level,2018,27084
Germany,Master or equivalent level,2019,31879
Germany,Master or equivalent level,2020,30599
Germany,Master or equivalent level,2021,34875
Germany,Doctoral or equivalent level,2013,4237
Germany,Doctoral or equivalent level,2014,4497
Germany,Doctoral or equivalent level,2015,4887
Germany,Doctoral or equivalent level,2016,4923
Germany,Doctoral or equivalent level,2017,5051
Germany,Doctoral or equivalent level,2018,4903
Germany,Doctoral or equivalent level,2019,5767
Germany,Doctoral or equivalent level,2020,5545
Germany,Doctoral or equivalent level,2021,5963
Greece,Short-cycle tertiary education,2013,0
Greece,Short-cycle tertiary education,2014,0
Greece,Short-cycle tertiary education,2015,0
Greece,Short-cycle tertiary education,2016,0
Greece,Short-cycle tertiary education,2017,0
Greece,Short-cycle tertiary education,2018,0
Greece,Short-cycle tertiary education,2019,0
Greece,Short-cycle tertiary education,2020,0
Greece,Short-cycle tertiary education,2021,0
Greece,Bachelor or equivalent level,2013,0
Greece,Bachelor or equivalent level,2014,0
Greece,Bachelor or equivalent level,2015,1249
Greece,Bachelor or equivalent level,2016,1273
Greece,Bachelor or equivalent level,2017,1082
Greece,Bachelor or equivalent level,2018,1116
Greece,Bachelor or equivalent level,2019,1129
Greece,Bachelor or equivalent level,2020,996
Greece,Bachelor or equivalent level,2021,1371
Greece,Master or equivalent level,2013,0
Greece,Master or equivalent level,2014,0
Greece,Master or equivalent level,2015,72
Greece,Master or equivalent level,2016,154
Greece,Master or equivalent level,2017,119
Greece,Master or equivalent level,2018,136
Greece,Master or equivalent level,2019,192
Greece,Master or equivalent level,2020,75
Greece,Master or equivalent level,2021,129
Greece,Doctoral or equivalent level,2013,0
Greece,Doctoral or equivalent level,2014,0
Greece,Doctoral or equivalent level,2015,33
Greece,Doctoral or equivalent level,2016,44
Greece,Doctoral or equivalent level,2017,17
Greece,Doctoral or equivalent level,2018,21
Greece,Doctoral or equivalent level,2019,43
Greece,Doctoral or equivalent level,2020,23
Greece,Doctoral or equivalent level,2021,33
Hungary,Short-cycle tertiary education,2013,38
Hungary,Short-cycle tertiary education,2014,34
Hungary,Short-cycle tertiary education,2015,19
Hungary,Short-cycle tertiary education,2016,12
Hungary,Short-cycle tertiary education,2017,23
Hungary,Short-cycle tertiary education,2018,30
Hungary,Short-cycle tertiary education,2019,31
Hungary,Short-cycle tertiary education,2020,35
Hungary,Short-cycle tertiary education,2021,42
Hungary,Bachelor or equivalent level,2013,1208
Hungary,Bachelor or equivalent level,2014,1245
Hungary,Bachelor or equivalent level,2015,1373
Hungary,Bachelor or equivalent level,2016,1338
Hungary,Bachelor or equivalent level,2017,1420
Hungary,Bachelor or equivalent level,2018,1802
Hungary,Bachelor or equivalent level,2019,1996
Hungary,Bachelor or equivalent level,2020,2907
Hungary,Bachelor or equivalent level,2021,2743
Hungary,Master or equivalent level,2013,1418
Hungary,Master or equivalent level,2014,1696
Hungary,Master or equivalent level,2015,1617
Hungary,Master or equivalent level,2016,1933
Hungary,Master or equivalent level,2017,2316
Hungary,Master or equivalent level,2018,2703
Hungary,Master or equivalent level,2019,3185
Hungary,Master or equivalent level,2020,3635
Hungary,Master or equivalent level,2021,3655
Hungary,Doctoral or equivalent level,2013,74
Hungary,Doctoral or equivalent level,2014,90
Hungary,Doctoral or equivalent level,2015,86
Hungary,Doctoral or equivalent level,2016,100
Hungary,Doctoral or equivalent level,2017,104
Hungary,Doctoral or equivalent level,2018,145
Hungary,Doctoral or equivalent level,2019,142
Hungary,Doctoral or equivalent level,2020,186
Hungary,Doctoral or equivalent level,2021,284
Iceland,Short-cycle tertiary education,2013,3
Iceland,Short-cycle tertiary education,2014,1
Iceland,Short-cycle tertiary education,2015,3
Iceland,Short-cycle tertiary education,2016,0
Iceland,Short-cycle tertiary education,2017,1
Iceland,Short-cycle tertiary education,2018,0
Iceland,Short-cycle tertiary education,2019,0
Iceland,Short-cycle tertiary education,2020,2
Iceland,Short-cycle tertiary education,2021,1
Iceland,Bachelor or equivalent level,2013,66
Iceland,Bachelor or equivalent level,2014,64
Iceland,Bachelor or equivalent level,2015,86
Iceland,Bachelor or equivalent level,2016,69
Iceland,Bachelor or equivalent level,2017,87
Iceland,Bachelor or equivalent level,2018,132
Iceland,Bachelor or equivalent level,2019,114
Iceland,Bachelor or equivalent level,2020,107
Iceland,Bachelor or equivalent level,2021,138
Iceland,Master or equivalent level,2013,73
Iceland,Master or equivalent level,2014,120
Iceland,Master or equivalent level,2015,114
Iceland,Master or equivalent level,2016,124
Iceland,Master or equivalent level,2017,169
Iceland,Master or equivalent level,2018,158
Iceland,Master or equivalent level,2019,195
Iceland,Master or equivalent level,2020,134
Iceland,Master or equivalent level,2021,211
Iceland,Doctoral or equivalent level,2013,15
Iceland,Doctoral or equivalent level,2014,29
Iceland,Doctoral or equivalent level,2015,16
Iceland,Doctoral or equivalent level,2016,26
Iceland,Doctoral or equivalent level,2017,26
Iceland,Doctoral or equivalent level,2018,23
Iceland,Doctoral or equivalent level,2019,36
Iceland,Doctoral or equivalent level,2020,30
Iceland,Doctoral or equivalent level,2021,48
Ireland,Short-cycle tertiary education,2014,220
Ireland,Short-cycle tertiary education,2015,257
Ireland,Short-cycle tertiary education,2016,240
Ireland,Short-cycle tertiary education,2017,363
Ireland,Short-cycle tertiary education,2018,500
Ireland,Short-cycle tertiary education,2019,435
Ireland,Short-cycle tertiary education,2020,498
Ireland,Short-cycle tertiary education,2021,392
Ireland,Bachelor or equivalent level,2014,2076
Ireland,Bachelor or equivalent level,2015,2278
Ireland,Bachelor or equivalent level,2016,2398
Ireland,Bachelor or equivalent level,2017,2866
Ireland,Bachelor or equivalent level,2018,5277
Ireland,Bachelor or equivalent level,2019,3289
Ireland,Bachelor or equivalent level,2020,3621
Ireland,Bachelor or equivalent level,2021,3175
Ireland,Master or equivalent level,2014,2299
Ireland,Master or equivalent level,2015,2708
Ireland,Master or equivalent level,2016,2739
Ireland,Master or equivalent level,2017,4340
Ireland,Master or equivalent level,2018,5108
Ireland,Master or equivalent level,2019,5616
Ireland,Master or equivalent level,2020,6682
Ireland,Master or equivalent level,2021,5457
Ireland,Doctoral or equivalent level,2014,455
Ireland,Doctoral or equivalent level,2015,387
Ireland,Doctoral or equivalent level,2016,341
Ireland,Doctoral or equivalent level,2017,404
Ireland,Doctoral or equivalent level,2018,400
Ireland,Doctoral or equivalent level,2019,437
Ireland,Doctoral or equivalent level,2020,454
Ireland,Doctoral or equivalent level,2021,487
Italy,Short-cycle tertiary education,2013,0
Italy,Short-cycle tertiary education,2014,71
Italy,Short-cycle tertiary education,2015,103
Italy,Short-cycle tertiary education,2016,149
Italy,Short-cycle tertiary education,2017,194
Italy,Short-cycle tertiary education,2018,231
Italy,Short-cycle tertiary education,2019,0
Italy,Short-cycle tertiary education,2020,0
Italy,Short-cycle tertiary education,2021,0
Italy,Bachelor or equivalent level,2013,5853
Italy,Bachelor or equivalent level,2014,8207
Italy,Bachelor or equivalent level,2015,7728
Italy,Bachelor or equivalent level,2016,9611
Italy,Bachelor or equivalent level,2017,9814
Italy,Bachelor or equivalent level,2018,10042
Italy,Bachelor or equivalent level,2019,7604
Italy,Bachelor or equivalent level,2020,4215
Italy,Bachelor or equivalent level,2021,6169
Italy,Master or equivalent level,2013,7631
Italy,Master or equivalent level,2014,7541
Italy,Master or equivalent level,2015,7245
Italy,Master or equivalent level,2016,7855
Italy,Master or equivalent level,2017,8439
Italy,Master or equivalent level,2018,9317
Italy,Master or equivalent level,2019,8959
Italy,Master or equivalent level,2020,6710
Italy,Master or equivalent level,2021,8054
