"COUNTRY","Country","SEX","Gender","ORIGIN","Country of origin","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2020","2020",336,,
"AUS","Australia","F","Female","021","Northern America","ISCED11_5","Short-cycle tertiary education","2021","2021",300,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2013","2013",13,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2014","2014",9,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2015","2015",20,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2016","2016",37,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2017","2017",28,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2018","2018",63,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2019","2019",215,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2020","2020",192,,
"AUS","Australia","M","Male","021","Northern America","ISCED11_5","Short-cycle tertiary education","2021","2021",154,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2013","2013",28,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2014","2014",19,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2015","2015",35,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2016","2016",52,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2017","2017",47,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2018","2018",167,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2019","2019",592,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2020","2020",528,,
"AUS","Australia","_T","Total","021","Northern America","ISCED11_5","Short-cycle tertiary education","2021","2021",454,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2013","2013",23,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2014","2014",40,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2015","2015",82,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2016","2016",103,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2017","2017",141,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2018","2018",1701,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2019","2019",3321,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2020","2020",4180,,
"AUS","Australia","F","Female","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2021","2021",4089,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2013","2013",37,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2014","2014",31,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2015","2015",66,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2016","2016",105,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2017","2017",94,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2018","2018",1565,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2019","2019",2978,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2020","2020",3524,,
"AUS","Australia","M","Male","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2021","2021",3475,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2013","2013",60,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2014","2014",71,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2015","2015",148,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2016","2016",208,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2017","2017",235,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2018","2018",3266,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2019","2019",6299,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2020","2020",7704,,
"AUS","Australia","_T","Total","419","Latin America and the Caribbean","ISCED11_5","Short-cycle tertiary education","2021","2021",7564,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2013","2013",3682,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2014","2014",4278,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2015","2015",6310,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2016","2016",5832,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2017","2017",5842,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2018","2018",13563,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2019","2019",19357,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2020","2020",19067,,
"AUS","Australia","F","Female","006","Asia","ISCED11_5","Short-cycle tertiary education","2021","2021",20614,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2013","2013",4179,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2014","2014",4723,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2015","2015",6292,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2016","2016",6626,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2017","2017",6751,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2018","2018",14964,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2019","2019",21284,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2020","2020",20530,,
"AUS","Australia","M","Male","006","Asia","ISCED11_5","Short-cycle tertiary education","2021","2021",23828,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2013","2013",7861,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2014","2014",9001,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2015","2015",12602,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2016","2016",12458,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2017","2017",12593,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2018","2018",28527,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2019","2019",40641,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2020","2020",39597,,
"AUS","Australia","_T","Total","006","Asia","ISCED11_5","Short-cycle tertiary education","2021","2021",44442,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2013","2013",153,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2014","2014",61,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2015","2015",160,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2016","2016",163,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2017","2017",199,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2018","2018",1411,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2019","2019",2323,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2020","2020",2344,,
"AUS","Australia","F","Female","007","Europe","ISCED11_5","Short-cycle tertiary education","2021","2021",1995,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2013","2013",81,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2014","2014",74,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2015","2015",94,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2016","2016",158,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2017","2017",128,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2018","2018",1232,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2019","2019",1795,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2020","2020",1687,,
"AUS","Australia","M","Male","007","Europe","ISCED11_5","Short-cycle tertiary education","2021","2021",1440,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2013","2013",234,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2014","2014",135,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2015","2015",254,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2016","2016",321,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2017","2017",327,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2018","2018",2643,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2019","2019",4118,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2020","2020",4031,,
"AUS","Australia","_T","Total","007","Europe","ISCED11_5","Short-cycle tertiary education","2021","2021",3435,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2013","2013",3526,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2014","2014",4144,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2015","2015",139,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2016","2016",79,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2017","2017",70,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2018","2018",877,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2019","2019",1789,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2020","2020",2303,,
"AUS","Australia","F","Female","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2021","2021",3000,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2013","2013",3221,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2014","2014",3558,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2015","2015",110,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2016","2016",104,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2017","2017",59,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2018","2018",1140,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2019","2019",1970,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2020","2020",2264,,
"AUS","Australia","M","Male","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2021","2021",2522,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2013","2013",6747,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2014","2014",7702,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2015","2015",249,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2016","2016",183,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2017","2017",129,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2018","2018",2017,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2019","2019",3759,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2020","2020",4567,,
"AUS","Australia","_T","Total","898","Areas not specified","ISCED11_5","Short-cycle tertiary education","2021","2021",5522,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2013","2013",32932,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2014","2014",30350,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2015","2015",28196,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2016","2016",28923,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2017","2017",29902,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2018","2018",32698,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2019","2019",34538,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2020","2020",33975,,
"AUS","Australia","F","Female","001","World","ISCED11_6","Bachelor’s or equivalent level","2021","2021",35224,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2013","2013",28065,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2014","2014",26032,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2015","2015",24052,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2016","2016",24511,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2017","2017",25439,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2018","2018",27243,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2019","2019",29031,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2020","2020",30351,,
"AUS","Australia","M","Male","001","World","ISCED11_6","Bachelor’s or equivalent level","2021","2021",31364,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2013","2013",60997,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2014","2014",56382,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2015","2015",52248,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2016","2016",53434,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2017","2017",55341,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2018","2018",59941,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2019","2019",63569,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2020","2020",64326,,
"AUS","Australia","_T","Total","001","World","ISCED11_6","Bachelor’s or equivalent level","2021","2021",66588,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2013","2013",1315,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2014","2014",1140,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2015","2015",977,,
"AUS","Australia","F","Female","002","Africa","ISCED11_6","Bachelor’s or equivalent level","2016","2016",1038,,
